model,cumulative_return,total_net_return,ann_return,ann_volatility,sharpe,sortino,max_drawdown,calmar,win_rate,average_daily_return,mean_turnover,mean_cost,total_transaction_cost,candidate_feasibility,n_days,test_month
SS-FM + PPO,0.04917459616609321,0.04917459616609321,0.7789887301120617,0.1268821323080425,4.540001521320887,11.969988458060403,0.019878156038178774,39.18817865278375,0.7142857142857143,0.0022858931496307577,0.4175801269830427,0.0001252740380948619,0.0026307547999921002,1.0,21,2025-09
SS-FM G=8,0.047755210923764,0.047755210923764,0.7503220070390406,0.1270500166329396,4.406136967682481,6.946098031751838,0.0234564165649076,31.987921299179753,0.6190476190476191,0.002221427678694719,0.5766300096252223,0.00017298900288751907,0.0036327690606379006,1.0,21,2025-09
MLP Policy,0.046955920305963295,0.046955920305963295,0.7343660552960627,0.1156905616349736,4.75961005678211,7.981666379106207,0.02379730558658255,30.859210200255383,0.6190476190476191,0.002185087145367424,0.27041162656201906,8.112348796860143e-05,0.00170359324734063,1.0,21,2025-09
Equal Weight,0.04653479138562311,0.04653479138562311,0.7260129471351076,0.11659704709593727,4.6811999743100525,7.916545116081706,0.02320482217205111,31.287158408373795,0.6190476190476191,0.002165928943929085,0.21488779419813897,6.446633825943693e-05,0.0013537931034481756,1.0,21,2025-09
Risk Parity,0.04412937908361725,0.04412937908361725,0.6790042297334207,0.11530614114777984,4.4941309468164095,7.563188920508183,0.023162206425287546,29.315179101076993,0.6190476190476191,0.002056352767024676,0.22371408066553805,6.71142241996602e-05,0.0014093987081928642,1.0,21,2025-09
Black-Litterman,0.04368378019726005,0.04368378019726005,0.6704258811582195,0.11620831245803619,4.415162751458312,7.182533877709331,0.025356915987803763,26.439567078294647,0.6190476190476191,0.0020360262403751996,0.2376087526158836,7.128262578476033e-05,0.0014969351414799669,1.0,21,2025-09
SS-FM G=16,0.024242706535824388,0.024242706535824388,0.30010785411886176,0.22213662730372272,1.1814675900975482,1.2884037171151723,0.04983715089492047,6.02176987909334,0.5217391304347826,0.0010414572449719305,0.6250307945196218,0.00018750923835582608,0.004312712482184,1.0,23,2025-10
Black-Litterman,-0.007686936165773428,-0.007686936165773428,-0.08107195484488883,0.1821433718733977,-0.46418080282284846,-0.5580839076085781,0.04820464322571549,-1.681828749676126,0.5217391304347826,-0.0003355057800994221,0.3606645266878865,0.00010819935800633657,0.002488585234145741,1.0,23,2025-10
SS-FM + GRPO,-0.011259930648469307,-0.011259930648469307,-0.11668155206370145,0.19520422773844015,-0.6355881818865113,-0.7391410493445559,0.05419812129481305,-2.1528707873287165,0.5217391304347826,-0.0004923392865271257,0.5003140868933177,0.00015009422606794779,0.0034521671995627994,1.0,23,2025-10
Gaussian Policy,-0.01444394120285819,-0.01444394120285819,-0.14735278404914232,0.1966031256418711,-0.8108182251954625,-1.014545548955146,0.07429833972238364,-1.9832580997062277,0.43478260869565216,-0.0006325769738127875,0.6385853209402744,0.0001915755962820348,0.0044062387144868,1.0,23,2025-10
MLP Policy,-0.01828833151337017,-0.01828833151337017,-0.1830941490068102,0.19533084614010346,-1.035327661867928,-1.2426255891544526,0.058720364631627,-3.1180690064753964,0.391304347826087,-0.0008025056675591955,0.35143287216447244,0.00010542986164931769,0.002424886817934307,1.0,23,2025-10
Equal Weight,-0.021810695256129886,-0.021810695256129886,-0.21464067304310586,0.19695036342445804,-1.2267757235068595,-1.4857147110944011,0.058427575705947477,-3.6736193560955344,0.391304347826087,-0.0009587854150197556,0.3026772328121653,9.08031698436322e-05,0.002088472906403541,1.0,23,2025-10
Risk Parity,-0.022299617312369402,-0.022299617312369402,-0.21893087230922115,0.18974473062955965,-1.3022317956951512,-1.5293474433337213,0.056644878790473085,-3.864972032494532,0.43478260869565216,-0.0009805223067120008,0.3059113619986842,9.17734085995983e-05,0.002110788397790761,1.0,23,2025-10
Kelly,-0.023582885189957326,-0.023582885189957326,-0.23009019462154578,0.18828354237473405,-1.3887666631376057,-1.776207854612867,0.056104372990158136,-4.101109812989236,0.43478260869565216,-0.0010376266145535212,0.32219841110852604,9.665952333254032e-05,0.0022231690366484274,1.0,23,2025-10
MVO,-0.023582885189957326,-0.023582885189957326,-0.23009019462154578,0.18828354237473405,-1.3887666631376057,-1.776207854612867,0.056104372990158136,-4.101109812989236,0.43478260869565216,-0.0010376266145535212,0.32219841110852604,9.665952333254032e-05,0.0022231690366484274,1.0,23,2025-10
Maximum Sharpe,-0.026367748550472858,-0.026367748550472858,-0.2538106730437658,0.18739676886057346,-1.5623317481516574,-1.9841986979803024,0.05558680388962134,-4.566023863285204,0.43478260869565216,-0.0011618092122694912,0.34148369867148387,0.00010244510960141957,0.00235623752083265,1.0,23,2025-10
SS-FM G=32,-0.02862839503635617,-0.02862839503635617,-0.2725755313926055,0.22883193950351632,-1.3907372774842912,-1.7659799053655407,0.0679832237312622,-4.009452868403197,0.5652173913043478,-0.0012628774148673424,0.6270416410810051,0.00018811249232425655,0.004326587323457901,1.0,23,2025-10
SS-FM,-0.029392491680810706,-0.029392491680810706,-0.27882040243547634,0.23432173394504044,-1.394949892682426,-1.9543366595144755,0.0683219601880285,-4.080977794959867,0.4782608695652174,-0.0012970915778563257,0.6234335424493181,0.00018703006273474782,0.0043016914428992,1.0,23,2025-10
SS-FM G=8,-0.03242316249075028,-0.03242316249075028,-0.3031128309998099,0.2468582479513283,-1.462911469398806,-1.4481963704714622,0.07840553396212413,-3.8659622055024405,0.5217391304347826,-0.001433062548586081,0.6199293149045986,0.00018597879447133475,0.0042775122728406995,1.0,23,2025-10
SS-FM G=64,-0.036927689702840216,-0.036927689702840216,-0.3378470111056612,0.23809698786930214,-1.731473599835347,-2.185626808750628,0.07665766104922,-4.40721783682831,0.43478260869565216,-0.0016359470186349742,0.6570695387075771,0.00019712086161222174,0.0045337798170811,1.0,23,2025-10
SS-FM + PPO,-0.04020589913430661,-0.04020589913430661,-0.36212775472799696,0.19925145116274728,-2.2565319127421786,-2.833534039451268,0.06378537459176226,-5.677285068021925,0.43478260869565216,-0.0017841954690830512,0.47861414012116105,0.0001435842420363,0.0033024375668349003,1.0,23,2025-10
Standard FM,-0.044693831195753875,-0.044693831195753875,-0.3940570040079988,0.243169283749291,-2.060167121574494,-2.839971768214894,0.07053008132779004,-5.587077124959073,0.391304347826087,-0.0019879736641155088,0.5941435342152859,0.00017824306026453478,0.0040995903860843,1.0,23,2025-10
SS-FM G=128,-0.04775812602092422,-0.04775812602092422,-0.4150159034626809,0.22005157289230795,-2.43656798485372,-2.832669794755931,0.06894163826252708,-6.019814932194046,0.4782608695652174,-0.002127661180659136,0.6508490072121922,0.00019525470216361304,0.0044908581497631,1.0,23,2025-10
Diffusion,-0.12985202642976557,-0.12985202642976557,-0.7821534779477293,0.43041293742465636,-3.5407032617056644,-5.351751057183871,0.12941814183116396,-6.043615422697919,0.43478260869565216,-0.006047478140554749,0.6835849117173203,0.0002050754735151636,0.0047167358908487625,1.0,23,2025-10
Diffusion,-0.01774736399711263,-0.01774736399711263,-0.21140301360901237,0.48688051807126315,-0.4877991010072076,-0.739981551887381,0.08820313143285863,-2.396774470189135,0.5263157894736842,-0.0009424598373535144,0.6223926613814672,0.00018671779841440453,0.003547638169873686,1.0,19,2025-11
Standard FM,-0.020704245989808467,-0.020704245989808467,-0.24231403399975837,0.303346297718928,-0.9147508116797657,-1.1820979228460051,0.08183479576303843,-2.961014709456905,0.47368421052631576,-0.0011011360002319095,0.6853630201623269,0.00020560890604864212,0.0039065692149242,1.0,19,2025-11
SS-FM G=16,-0.02277494836386862,-0.02277494836386862,-0.26328978592321295,0.2698352210841606,-1.1323972442386705,-1.3995082955005147,0.07615940360655027,-3.4570883365027836,0.631578947368421,-0.0012125423045803007,0.6160685394428329,0.00018482056183281054,0.0035115906748234,1.0,19,2025-11
SS-FM + PPO,-0.03263184829814891,-0.03263184829814891,-0.35597671204948766,0.25655649701779465,-1.7151013411569689,-2.4504673802410144,0.08160134299835997,-4.3623879089421616,0.5789473684210527,-0.0017461126671339422,0.48360114690000355,0.00014508034406995266,0.0027565265373291005,1.0,19,2025-11
SS-FM G=128,-0.03589466198678315,-0.03589466198678315,-0.384198743980237,0.2898411481033036,-1.6727473204241827,-2.373971709863583,0.0886224542613141,-4.335230243651121,0.47368421052631576,-0.0019239325549145626,0.671758394285994,0.0002015275182857474,0.0038290228474292002,1.0,19,2025-11
Gaussian Policy,-0.03601036701381344,-0.03601036701381344,-0.38517822425362724,0.3308829955598985,-1.4700750876778073,-1.6577780765013506,0.09427690172902636,-4.08560545785349,0.5789473684210527,-0.0019302493996381476,0.7193800382117823,0.0002158140114634842,0.0041004662178062,1.0,19,2025-11
SS-FM G=8,-0.03864704316679213,-0.03864704316679213,-0.40711187164258456,0.2671151994437285,-1.9570191159763188,-2.4739472866055454,0.09369352882003879,-4.345143968528946,0.47368421052631576,-0.002074402982060332,0.6311433927894071,0.00018934301783677895,0.0035975173388988,1.0,19,2025-11
Equal Weight,-0.04341339418246726,-0.04341339418246726,-0.44493570928998727,0.24979644548941365,-2.356604120903486,-2.92114198770844,0.08977263851202733,-4.956250776013193,0.5263157894736842,-0.002335997352489663,0.2804597701149425,8.41379310344715e-05,0.0015986206896549584,1.0,19,2025-11
Risk Parity,-0.04371392757185011,-0.04371392757185011,-0.44724416862858896,0.24833006696876053,-2.38730217726739,-2.9483172548075265,0.09007114366353919,-4.965454533354987,0.5263157894736842,-0.002352535355378884,0.28980411147743984,8.694123344322115e-05,0.001651883435421202,1.0,19,2025-11
Maximum Sharpe,-0.04490653533568578,-0.04490653533568578,-0.45631760816156863,0.24303086582787506,-2.5074594499867695,-2.956298198224121,0.08933816774548742,-5.107756513000769,0.5263157894736842,-0.002418214449041952,0.3199273981174149,9.59782194352075e-05,0.0018235861692689425,1.0,19,2025-11
MLP Policy,-0.04725603390051236,-0.04725603390051236,-0.47379119147822313,0.2492471290068335,-2.5759862237943936,-3.1445972990615445,0.09140653634621931,-5.183340386989948,0.5263157894736842,-0.002547845915245663,0.3366593646706494,0.00010099780940116471,0.0019189583786221294,1.0,19,2025-11
Kelly,-0.047627959622000726,-0.047627959622000726,-0.47650916869025706,0.2436594975434531,-2.6563124752484613,-3.1922173898656037,0.09008597332536439,-5.2894934816238734,0.5263157894736842,-0.0025683958850692312,0.3149698538983451,9.449095616948383e-05,0.0017953281672201927,1.0,19,2025-11
MVO,-0.047627959622000726,-0.047627959622000726,-0.47650916869025706,0.2436594975434531,-2.6563124752484613,-3.1922173898656037,0.09008597332536439,-5.2894934816238734,0.5263157894736842,-0.0025683958850692312,0.3149698538983451,9.449095616948383e-05,0.0017953281672201927,1.0,19,2025-11
SS-FM + GRPO,-0.049673915422264736,-0.049673915422264736,-0.49123003787243313,0.26604510243313095,-2.540017836140294,-3.1954780526046087,0.09296795055466678,-5.283864331112487,0.47368421052631576,-0.0026815845452298577,0.4557835857078706,0.00013673507571231578,0.0025979664385339996,1.0,19,2025-11
Black-Litterman,-0.05470195419166379,-0.05470195419166379,-0.52579666117273,0.25005232210196554,-2.9838517720417532,-3.3801778421258972,0.09371420879799686,-5.610639708927137,0.47368421052631576,-0.002960789938123433,0.32597571613544585,9.779271484062189e-05,0.0018580615819718158,1.0,19,2025-11
SS-FM G=32,-0.06557108832072811,-0.06557108832072811,-0.5932285233421641,0.25234634784905735,-3.5645601424794378,-4.8690161643224625,0.09253862586348238,-6.41060441309475,0.5263157894736842,-0.0035694592604881012,0.6305655774400614,0.00018916967323197369,0.0035942237914075,1.0,19,2025-11
SS-FM,-0.07113483955075106,-0.07113483955075106,-0.6242047791016557,0.28995520571530126,-3.3753865767313878,-4.857767043664477,0.12111923009613645,-5.153638927577422,0.5263157894736842,-0.0038837734493048256,0.6350155047527307,0.00019050465142576842,0.0036195883770896,1.0,19,2025-11
SS-FM G=64,-0.08878134311511487,-0.08878134311511487,-0.7086143160025323,0.2567457738796943,-4.802834711352578,-6.540850439831399,0.10842986940380506,-6.535231665396301,0.3684210526315789,-0.0048932837888193475,0.6847716979848021,0.0002054315093953895,0.0039031986785124004,1.0,19,2025-11
SS-FM G=128,0.06890192554885077,0.06890192554885077,1.1452110536861113,0.1765691936748202,4.322599684473588,8.534544793190056,0.021410902252473774,53.48728606492031,0.5454545454545454,0.0030287219875656094,0.6998353336328845,0.00020995060008980915,0.004618913201975801,1.0,22,2025-12
SS-FM G=16,0.0534531989314182,0.0534531989314182,0.8157136824163587,0.18293359752161076,3.2606290586437465,7.479543733302867,0.03648922274765254,22.354920740777796,0.45454545454545453,0.002366978586830173,0.7016525366265101,0.00021049576098791363,0.0046309067417341,1.0,22,2025-12
SS-FM G=64,0.042202064344774914,0.042202064344774914,0.6055771819193041,0.16033886179843007,2.953016514700405,7.587617174373631,0.03857708218051692,15.697848247972122,0.5,0.0018789020112659912,0.7199697444444447,0.00021599092333328182,0.0047518003133322,1.0,22,2025-12
SS-FM G=32,0.03902178043242377,0.03902178043242377,0.5503431208509895,0.1377454935085707,3.183234990526131,7.053636151525873,0.025618708328240647,21.48207918212339,0.5,0.0017399852171578265,0.677798004642287,0.00020333940139263178,0.004473466830637899,1.0,22,2025-12
