test_month,phase,seconds,initial_stock_chunk,final_stock_chunk,batch_asofs,gradient_accumulation,oom_retries,train_states,validation_states,test_dates,n_samples,interval_s,util_gpu_mean,util_gpu_max,mem_used_mb_mean,mem_used_mb_max,process_rss_mb_mean,process_rss_mb_max,system_ram_used_mb_max,torch_peak_alloc_mb,torch_peak_reserved_mb,oom_events
2026-01,total,556.3966615200043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,10.0,4.254545454545455,51.0,7164.0,7164.0,48901.99691636364,50626.076672,12343.771136,1723.979776,7000.293376,0.0
2026-02,alpha_training,305.9689118862152,96.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,generative_training,2.703505277633667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,portfolio_state_generation,158.03906083106995,0.0,0.0,0.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,rl_training,9.339992761611938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,test_inference,56.61814522743225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,total,538.0089643001556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,10.0,2.037735849056604,36.0,7164.0,7164.0,51121.52728633962,53446.877184,12373.741568,1649.791488,7000.293376,0.0
2026-03,alpha_training,331.9522747993469,96.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,generative_training,2.141380071640014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,portfolio_state_generation,170.6461682319641,0.0,0.0,0.0,0.0,0.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,rl_training,8.43387508392334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,test_inference,66.33908677101135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,total,585.6331887245178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,10.0,1.2241379310344829,19.0,7164.0,7164.0,53329.08399227583,55778.676736,12997.656576,1649.791488,7000.293376,0.0
2026-04,alpha_training,356.01617670059204,96.0,96.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,generative_training,2.8881075382232666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,portfolio_state_generation,185.0536277294159,0.0,0.0,0.0,0.0,0.0,50.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,rl_training,9.461727142333984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,test_inference,57.7704508304596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,total,617.0568318367004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,10.0,1.6557377049180328,34.0,7164.0,7164.0,55649.453106360656,58040.7296,12871.35232,1879.324672,7000.293376,0.0
