market,generator,candidate_pool,G,agg,agg_label,n_seeds,total_mean,total_std,sharpe_mean,sharpe_std,turnover_mean,source_dir
CSI500,Diffusion,Meta,64,softmax,Softmax,20,0.5411098758467584,0.0278599519538854,2.448056275804988,0.1204945027595653,0.2400047127105392,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,128,pred_utility,Pred-Utility,20,0.8828268004408194,0.2280610987516974,1.4871919566840703,0.364111800196217,0.3811025277678272,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,128,mean,Mean,20,0.5510337311474768,0.0238393135090974,2.49849360135667,0.1094003779127039,0.1863597740569182,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,128,topk,Top-k,20,0.7984273601624672,0.1721865155483532,1.6129083327232536,0.3511795361720027,0.4244115821022488,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,Diffusion,Meta,128,softmax,Softmax,20,0.5512785912917735,0.0238771885241203,2.4986439150201947,0.109541015085387,0.1863370518408921,results/CSI500/strict_fixed_oos_diff_stability_meta_seeds/
CSI500,FM,Meta,8,pred_utility,Pred-Utility,20,0.1772357574419709,0.0717728331992433,0.5523174779636509,0.2273071721446233,0.7126442051698406,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,8,mean,Mean,20,0.4987481236179961,0.0216428070266625,2.379330516451476,0.100660488454424,0.3225284377006789,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,8,topk,Top-k,20,0.3210665919605104,0.0433934379117185,1.3291616101510149,0.1702286294031354,0.4742479951606348,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,8,softmax,Softmax,20,0.4985096484785331,0.0216372016534274,2.377990061504939,0.1006132316884355,0.3225271570166424,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,32,pred_utility,Pred-Utility,20,0.2569922594502778,0.1026740262683638,0.7885948853063913,0.3177403957496879,0.6694637971093347,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,32,mean,Mean,20,0.5183977990897983,0.0109772238452311,2.479539164476475,0.0536157426427143,0.1749570148249862,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,32,topk,Top-k,20,0.3596575075280154,0.0455747213938213,1.436249339328413,0.1838657530526333,0.4547873794054792,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
CSI500,FM,Meta,32,softmax,Softmax,20,0.518336349604448,0.0109785009841313,2.479167556912767,0.053619094059661,0.1749558695360773,results/CSI500/strict_fixed_oos_fm_stability_meta_seeds/
